episode,total_reward,final_velocity
0,-2221.67,-106.766
1,0,-106.766
2,0,-106.766
3,0,-106.766
4,0,-106.766
5,0,-106.766
6,0,-106.766
7,0,-106.766
8,0,-106.766
9,0,-106.766
10,0,-106.766
11,0,-106.766
12,0,-106.766
13,0,-106.766
14,0,-106.766
15,0,-106.766
16,0,-106.766
17,0,-106.766
18,0,-106.766
19,0,-106.766
20,0,-106.766
21,0,-106.766
22,0,-106.766
23,0,-106.766
24,0,-106.766
25,0,-106.766
26,0,-106.766
27,0,-106.766
28,0,-106.766
29,0,-106.766
30,0,-106.766
31,0,-106.766
32,0,-106.766
33,0,-106.766
34,0,-106.766
35,0,-106.766
36,0,-106.766
37,0,-106.766
38,0,-106.766
39,0,-106.766
40,0,-106.766
41,0,-106.766
42,0,-106.766
43,0,-106.766
44,0,-106.766
45,0,-106.766
46,0,-106.766
47,0,-106.766
48,0,-106.766
49,0,-106.766
50,0,-106.766
51,0,-106.766
52,0,-106.766
53,0,-106.766
54,0,-106.766
55,0,-106.766
56,0,-106.766
57,0,-106.766
58,0,-106.766
59,0,-106.766
60,0,-106.766
61,0,-106.766
62,0,-106.766
63,0,-106.766
64,0,-106.766
65,0,-106.766
66,0,-106.766
67,0,-106.766
68,0,-106.766
69,0,-106.766
70,0,-106.766
71,0,-106.766
72,0,-106.766
73,0,-106.766
74,0,-106.766
75,0,-106.766
76,0,-106.766
77,0,-106.766
78,0,-106.766
79,0,-106.766
80,0,-106.766
81,0,-106.766
82,0,-106.766
83,0,-106.766
84,0,-106.766
85,0,-106.766
86,0,-106.766
87,0,-106.766
88,0,-106.766
89,0,-106.766
90,0,-106.766
91,0,-106.766
92,0,-106.766
93,0,-106.766
94,0,-106.766
95,0,-106.766
96,0,-106.766
97,0,-106.766
98,0,-106.766
99,0,-106.766
100,0,-106.766
101,0,-106.766
102,0,-106.766
103,0,-106.766
104,0,-106.766
105,0,-106.766
106,0,-106.766
107,0,-106.766
108,0,-106.766
109,0,-106.766
110,0,-106.766
111,0,-106.766
112,0,-106.766
113,0,-106.766
114,0,-106.766
115,0,-106.766
116,0,-106.766
117,0,-106.766
118,0,-106.766
119,0,-106.766
120,0,-106.766
121,0,-106.766
122,0,-106.766
123,0,-106.766
124,0,-106.766
125,0,-106.766
126,0,-106.766
127,0,-106.766
128,0,-106.766
129,0,-106.766
130,0,-106.766
131,0,-106.766
132,0,-106.766
133,0,-106.766
134,0,-106.766
135,0,-106.766
136,0,-106.766
137,0,-106.766
138,0,-106.766
139,0,-106.766
140,0,-106.766
141,0,-106.766
142,0,-106.766
143,0,-106.766
144,0,-106.766
145,0,-106.766
146,0,-106.766
147,0,-106.766
148,0,-106.766
149,0,-106.766
150,0,-106.766
151,0,-106.766
152,0,-106.766
153,0,-106.766
154,0,-106.766
155,0,-106.766
156,0,-106.766
157,0,-106.766
158,0,-106.766
159,0,-106.766
160,0,-106.766
161,0,-106.766
162,0,-106.766
163,0,-106.766
164,0,-106.766
165,0,-106.766
166,0,-106.766
167,0,-106.766
168,0,-106.766
169,0,-106.766
170,0,-106.766
171,0,-106.766
172,0,-106.766
173,0,-106.766
174,0,-106.766
175,0,-106.766
176,0,-106.766
177,0,-106.766
178,0,-106.766
179,0,-106.766
180,0,-106.766
181,0,-106.766
182,0,-106.766
183,0,-106.766
184,0,-106.766
185,0,-106.766
186,0,-106.766
187,0,-106.766
188,0,-106.766
189,0,-106.766
190,0,-106.766
191,0,-106.766
192,0,-106.766
193,0,-106.766
194,0,-106.766
195,0,-106.766
196,0,-106.766
197,0,-106.766
198,0,-106.766
199,0,-106.766
200,0,-106.766
201,0,-106.766
202,0,-106.766
203,0,-106.766
204,0,-106.766
205,0,-106.766
206,0,-106.766
207,0,-106.766
208,0,-106.766
209,0,-106.766
210,0,-106.766
211,0,-106.766
212,0,-106.766
213,0,-106.766
214,0,-106.766
215,0,-106.766
216,0,-106.766
217,0,-106.766
218,0,-106.766
219,0,-106.766
220,0,-106.766
221,0,-106.766
222,0,-106.766
223,0,-106.766
224,0,-106.766
225,0,-106.766
226,0,-106.766
227,0,-106.766
228,0,-106.766
229,0,-106.766
230,0,-106.766
231,0,-106.766
232,0,-106.766
233,0,-106.766
234,0,-106.766
235,0,-106.766
236,0,-106.766
237,0,-106.766
238,0,-106.766
239,0,-106.766
240,0,-106.766
241,0,-106.766
242,0,-106.766
243,0,-106.766
244,0,-106.766
245,0,-106.766
246,0,-106.766
247,0,-106.766
248,0,-106.766
249,0,-106.766
250,0,-106.766
251,0,-106.766
252,0,-106.766
253,0,-106.766
254,0,-106.766
255,0,-106.766
256,0,-106.766
257,0,-106.766
258,0,-106.766
259,0,-106.766
260,0,-106.766
261,0,-106.766
262,0,-106.766
263,0,-106.766
264,0,-106.766
265,0,-106.766
266,0,-106.766
267,0,-106.766
268,0,-106.766
269,0,-106.766
270,0,-106.766
271,0,-106.766
272,0,-106.766
273,0,-106.766
274,0,-106.766
275,0,-106.766
276,0,-106.766
277,0,-106.766
278,0,-106.766
279,0,-106.766
280,0,-106.766
281,0,-106.766
282,0,-106.766
283,0,-106.766
284,0,-106.766
285,0,-106.766
286,0,-106.766
287,0,-106.766
288,0,-106.766
289,0,-106.766
290,0,-106.766
291,0,-106.766
292,0,-106.766
293,0,-106.766
294,0,-106.766
295,0,-106.766
296,0,-106.766
297,0,-106.766
298,0,-106.766
299,0,-106.766
300,0,-106.766
301,0,-106.766
302,0,-106.766
303,0,-106.766
304,0,-106.766
305,0,-106.766
306,0,-106.766
307,0,-106.766
308,0,-106.766
309,0,-106.766
310,0,-106.766
311,0,-106.766
312,0,-106.766
313,0,-106.766
314,0,-106.766
315,0,-106.766
316,0,-106.766
317,0,-106.766
318,0,-106.766
319,0,-106.766
320,0,-106.766
321,0,-106.766
322,0,-106.766
323,0,-106.766
324,0,-106.766
325,0,-106.766
326,0,-106.766
327,0,-106.766
328,0,-106.766
329,0,-106.766
330,0,-106.766
331,0,-106.766
332,0,-106.766
333,0,-106.766
334,0,-106.766
335,0,-106.766
336,0,-106.766
337,0,-106.766
338,0,-106.766
339,0,-106.766
340,0,-106.766
341,0,-106.766
342,0,-106.766
343,0,-106.766
344,0,-106.766
345,0,-106.766
346,0,-106.766
347,0,-106.766
348,0,-106.766
349,0,-106.766
350,0,-106.766
351,0,-106.766
352,0,-106.766
353,0,-106.766
354,0,-106.766
355,0,-106.766
356,0,-106.766
357,0,-106.766
358,0,-106.766
359,0,-106.766
360,0,-106.766
361,0,-106.766
362,0,-106.766
363,0,-106.766
364,0,-106.766
365,0,-106.766
366,0,-106.766
367,0,-106.766
368,0,-106.766
369,0,-106.766
370,0,-106.766
371,0,-106.766
372,0,-106.766
373,0,-106.766
374,0,-106.766
375,0,-106.766
376,0,-106.766
377,0,-106.766
378,0,-106.766
379,0,-106.766
380,0,-106.766
381,0,-106.766
382,0,-106.766
383,0,-106.766
384,0,-106.766
385,0,-106.766
386,0,-106.766
387,0,-106.766
388,0,-106.766
389,0,-106.766
390,0,-106.766
391,0,-106.766
392,0,-106.766
393,0,-106.766
394,0,-106.766
395,0,-106.766
396,0,-106.766
397,0,-106.766
398,0,-106.766
399,0,-106.766
400,0,-106.766
401,0,-106.766
402,0,-106.766
403,0,-106.766
404,0,-106.766
405,0,-106.766
406,0,-106.766
407,0,-106.766
408,0,-106.766
409,0,-106.766
410,0,-106.766
411,0,-106.766
412,0,-106.766
413,0,-106.766
414,0,-106.766
415,0,-106.766
416,0,-106.766
417,0,-106.766
418,0,-106.766
419,0,-106.766
420,0,-106.766
421,0,-106.766
