episode,total_reward,final_velocity
0,-1029.97,-22.3633
1,0,-22.3633
2,0,-22.3633
3,0,-22.3633
4,0,-22.3633
5,0,-22.3633
6,0,-22.3633
7,0,-22.3633
8,0,-22.3633
9,0,-22.3633
10,0,-22.3633
11,0,-22.3633
12,0,-22.3633
13,0,-22.3633
14,0,-22.3633
15,0,-22.3633
16,0,-22.3633
17,0,-22.3633
18,0,-22.3633
19,0,-22.3633
20,0,-22.3633
21,0,-22.3633
22,0,-22.3633
23,0,-22.3633
24,0,-22.3633
25,0,-22.3633
26,0,-22.3633
27,0,-22.3633
28,0,-22.3633
29,0,-22.3633
30,0,-22.3633
31,0,-22.3633
32,0,-22.3633
33,0,-22.3633
34,0,-22.3633
35,0,-22.3633
36,0,-22.3633
37,0,-22.3633
38,0,-22.3633
39,0,-22.3633
40,0,-22.3633
41,0,-22.3633
42,0,-22.3633
43,0,-22.3633
44,0,-22.3633
45,0,-22.3633
46,0,-22.3633
47,0,-22.3633
48,0,-22.3633
49,0,-22.3633
50,0,-22.3633
51,0,-22.3633
52,0,-22.3633
53,0,-22.3633
54,0,-22.3633
55,0,-22.3633
56,0,-22.3633
57,0,-22.3633
58,0,-22.3633
59,0,-22.3633
60,0,-22.3633
61,0,-22.3633
62,0,-22.3633
63,0,-22.3633
64,0,-22.3633
65,0,-22.3633
66,0,-22.3633
67,0,-22.3633
68,0,-22.3633
69,0,-22.3633
70,0,-22.3633
71,0,-22.3633
72,0,-22.3633
73,0,-22.3633
74,0,-22.3633
75,0,-22.3633
76,0,-22.3633
77,0,-22.3633
78,0,-22.3633
79,0,-22.3633
80,0,-22.3633
81,0,-22.3633
82,0,-22.3633
83,0,-22.3633
84,0,-22.3633
85,0,-22.3633
86,0,-22.3633
87,0,-22.3633
88,0,-22.3633
89,0,-22.3633
90,0,-22.3633
91,0,-22.3633
92,0,-22.3633
93,0,-22.3633
94,0,-22.3633
95,0,-22.3633
96,0,-22.3633
97,0,-22.3633
98,0,-22.3633
99,0,-22.3633
100,0,-22.3633
101,0,-22.3633
102,0,-22.3633
103,0,-22.3633
104,0,-22.3633
105,0,-22.3633
106,0,-22.3633
107,0,-22.3633
108,0,-22.3633
109,0,-22.3633
110,0,-22.3633
111,0,-22.3633
112,0,-22.3633
113,0,-22.3633
114,0,-22.3633
115,0,-22.3633
116,0,-22.3633
117,0,-22.3633
118,0,-22.3633
119,0,-22.3633
120,0,-22.3633
121,0,-22.3633
122,0,-22.3633
123,0,-22.3633
124,0,-22.3633
125,0,-22.3633
126,0,-22.3633
127,0,-22.3633
128,0,-22.3633
129,0,-22.3633
130,0,-22.3633
131,0,-22.3633
132,0,-22.3633
133,0,-22.3633
134,0,-22.3633
135,0,-22.3633
136,0,-22.3633
137,0,-22.3633
138,0,-22.3633
139,0,-22.3633
140,0,-22.3633
141,0,-22.3633
142,0,-22.3633
143,0,-22.3633
144,0,-22.3633
145,0,-22.3633
146,0,-22.3633
147,0,-22.3633
148,0,-22.3633
149,0,-22.3633
150,0,-22.3633
151,0,-22.3633
152,0,-22.3633
153,0,-22.3633
154,0,-22.3633
155,0,-22.3633
156,0,-22.3633
157,0,-22.3633
158,0,-22.3633
159,0,-22.3633
160,0,-22.3633
161,0,-22.3633
162,0,-22.3633
163,0,-22.3633
164,0,-22.3633
165,0,-22.3633
166,0,-22.3633
167,0,-22.3633
168,0,-22.3633
169,0,-22.3633
170,0,-22.3633
171,0,-22.3633
172,0,-22.3633
173,0,-22.3633
174,0,-22.3633
175,0,-22.3633
176,0,-22.3633
177,0,-22.3633
178,0,-22.3633
179,0,-22.3633
180,0,-22.3633
181,0,-22.3633
182,0,-22.3633
183,0,-22.3633
184,0,-22.3633
185,0,-22.3633
186,0,-22.3633
187,0,-22.3633
188,0,-22.3633
189,0,-22.3633
190,0,-22.3633
191,0,-22.3633
192,0,-22.3633
193,0,-22.3633
194,0,-22.3633
195,0,-22.3633
196,0,-22.3633
197,0,-22.3633
198,0,-22.3633
199,0,-22.3633
200,0,-22.3633
201,0,-22.3633
202,0,-22.3633
203,0,-22.3633
204,0,-22.3633
205,0,-22.3633
206,0,-22.3633
207,0,-22.3633
208,0,-22.3633
209,0,-22.3633
210,0,-22.3633
211,0,-22.3633
212,0,-22.3633
213,0,-22.3633
214,0,-22.3633
215,0,-22.3633
216,0,-22.3633
217,0,-22.3633
218,0,-22.3633
219,0,-22.3633
220,0,-22.3633
221,0,-22.3633
222,0,-22.3633
223,0,-22.3633
224,0,-22.3633
225,0,-22.3633
226,0,-22.3633
227,0,-22.3633
228,0,-22.3633
229,0,-22.3633
230,0,-22.3633
231,0,-22.3633
232,0,-22.3633
233,0,-22.3633
234,0,-22.3633
235,0,-22.3633
236,0,-22.3633
237,0,-22.3633
238,0,-22.3633
239,0,-22.3633
240,0,-22.3633
241,0,-22.3633
242,0,-22.3633
243,0,-22.3633
244,0,-22.3633
245,0,-22.3633
246,0,-22.3633
247,0,-22.3633
248,0,-22.3633
249,0,-22.3633
250,0,-22.3633
251,0,-22.3633
252,0,-22.3633
253,0,-22.3633
254,0,-22.3633
255,0,-22.3633
256,0,-22.3633
257,0,-22.3633
258,0,-22.3633
259,0,-22.3633
260,0,-22.3633
261,0,-22.3633
262,0,-22.3633
263,0,-22.3633
264,0,-22.3633
265,0,-22.3633
266,0,-22.3633
267,0,-22.3633
268,0,-22.3633
269,0,-22.3633
270,0,-22.3633
271,0,-22.3633
272,0,-22.3633
273,0,-22.3633
274,0,-22.3633
275,0,-22.3633
276,0,-22.3633
277,0,-22.3633
278,0,-22.3633
279,0,-22.3633
280,0,-22.3633
281,0,-22.3633
282,0,-22.3633
283,0,-22.3633
284,0,-22.3633
285,0,-22.3633
286,0,-22.3633
287,0,-22.3633
288,0,-22.3633
289,0,-22.3633
290,0,-22.3633
291,0,-22.3633
292,0,-22.3633
293,0,-22.3633
294,0,-22.3633
295,0,-22.3633
296,0,-22.3633
297,0,-22.3633
298,0,-22.3633
299,0,-22.3633
300,0,-22.3633
301,0,-22.3633
302,0,-22.3633
303,0,-22.3633
304,0,-22.3633
305,0,-22.3633
306,0,-22.3633
307,0,-22.3633
308,0,-22.3633
309,0,-22.3633
310,0,-22.3633
311,0,-22.3633
312,0,-22.3633
313,0,-22.3633
314,0,-22.3633
315,0,-22.3633
316,0,-22.3633
317,0,-22.3633
318,0,-22.3633
319,0,-22.3633
320,0,-22.3633
321,0,-22.3633
322,0,-22.3633
323,0,-22.3633
324,0,-22.3633
325,0,-22.3633
326,0,-22.3633
327,0,-22.3633
328,0,-22.3633
329,0,-22.3633
330,0,-22.3633
331,0,-22.3633
332,0,-22.3633
333,0,-22.3633
334,0,-22.3633
335,0,-22.3633
336,0,-22.3633
337,0,-22.3633
338,0,-22.3633
339,0,-22.3633
340,0,-22.3633
341,0,-22.3633
342,0,-22.3633
343,0,-22.3633
344,0,-22.3633
345,0,-22.3633
346,0,-22.3633
347,0,-22.3633
348,0,-22.3633
349,0,-22.3633
350,0,-22.3633
351,0,-22.3633
352,0,-22.3633
353,0,-22.3633
354,0,-22.3633
355,0,-22.3633
356,0,-22.3633
357,0,-22.3633
358,0,-22.3633
359,0,-22.3633
360,0,-22.3633
361,0,-22.3633
362,0,-22.3633
363,0,-22.3633
364,0,-22.3633
365,0,-22.3633
366,0,-22.3633
367,0,-22.3633
368,0,-22.3633
369,0,-22.3633
370,0,-22.3633
371,0,-22.3633
372,0,-22.3633
373,0,-22.3633
374,0,-22.3633
375,0,-22.3633
376,0,-22.3633
377,0,-22.3633
378,0,-22.3633
379,0,-22.3633
380,0,-22.3633
381,0,-22.3633
382,0,-22.3633
383,0,-22.3633
384,0,-22.3633
385,0,-22.3633
386,0,-22.3633
387,0,-22.3633
388,0,-22.3633
389,0,-22.3633
390,0,-22.3633
391,0,-22.3633
392,0,-22.3633
393,0,-22.3633
394,0,-22.3633
395,0,-22.3633
396,0,-22.3633
397,0,-22.3633
398,0,-22.3633
399,0,-22.3633
400,0,-22.3633
401,0,-22.3633
402,0,-22.3633
403,0,-22.3633
404,0,-22.3633
405,0,-22.3633
406,0,-22.3633
407,0,-22.3633
408,0,-22.3633
409,0,-22.3633
410,0,-22.3633
411,0,-22.3633
412,0,-22.3633
413,0,-22.3633
414,0,-22.3633
415,0,-22.3633
416,0,-22.3633
417,0,-22.3633
418,0,-22.3633
419,0,-22.3633
420,0,-22.3633
421,0,-22.3633
422,0,-22.3633
423,0,-22.3633
424,0,-22.3633
425,0,-22.3633
426,0,-22.3633
427,0,-22.3633
428,0,-22.3633
429,0,-22.3633
430,0,-22.3633
431,0,-22.3633
432,0,-22.3633
433,0,-22.3633
434,0,-22.3633
435,0,-22.3633
436,0,-22.3633
437,0,-22.3633
438,0,-22.3633
439,0,-22.3633
440,0,-22.3633
441,0,-22.3633
442,0,-22.3633
443,0,-22.3633
444,0,-22.3633
445,0,-22.3633
446,0,-22.3633
447,0,-22.3633
448,0,-22.3633
449,0,-22.3633
450,0,-22.3633
451,0,-22.3633
452,0,-22.3633
453,0,-22.3633
454,0,-22.3633
455,0,-22.3633
456,0,-22.3633
457,0,-22.3633
458,0,-22.3633
459,0,-22.3633
460,0,-22.3633
461,0,-22.3633
462,0,-22.3633
463,0,-22.3633
464,0,-22.3633
465,0,-22.3633
466,0,-22.3633
467,0,-22.3633
468,0,-22.3633
469,0,-22.3633
470,0,-22.3633
471,0,-22.3633
472,0,-22.3633
473,0,-22.3633
474,0,-22.3633
475,0,-22.3633
476,0,-22.3633
477,0,-22.3633
478,0,-22.3633
479,0,-22.3633
480,0,-22.3633
481,0,-22.3633
482,0,-22.3633
483,0,-22.3633
484,0,-22.3633
485,0,-22.3633
486,0,-22.3633
487,0,-22.3633
488,0,-22.3633
489,0,-22.3633
490,0,-22.3633
491,0,-22.3633
492,0,-22.3633
493,0,-22.3633
494,0,-22.3633
495,0,-22.3633
496,0,-22.3633
497,0,-22.3633
498,0,-22.3633
499,0,-22.3633
500,0,-22.3633
501,0,-22.3633
502,0,-22.3633
503,0,-22.3633
504,0,-22.3633
505,0,-22.3633
506,0,-22.3633
507,0,-22.3633
508,0,-22.3633
509,0,-22.3633
510,0,-22.3633
511,0,-22.3633
512,0,-22.3633
513,0,-22.3633
514,0,-22.3633
515,0,-22.3633
516,0,-22.3633
517,0,-22.3633
518,0,-22.3633
519,0,-22.3633
520,0,-22.3633
521,0,-22.3633
522,0,-22.3633
523,0,-22.3633
524,0,-22.3633
525,0,-22.3633
526,0,-22.3633
527,0,-22.3633
528,0,-22.3633
529,0,-22.3633
530,0,-22.3633
531,0,-22.3633
532,0,-22.3633
533,0,-22.3633
534,0,-22.3633
535,0,-22.3633
536,0,-22.3633
537,0,-22.3633
538,0,-22.3633
539,0,-22.3633
540,0,-22.3633
541,0,-22.3633
542,0,-22.3633
543,0,-22.3633
544,0,-22.3633
545,0,-22.3633
546,0,-22.3633
547,0,-22.3633
548,0,-22.3633
549,0,-22.3633
550,0,-22.3633
551,0,-22.3633
552,0,-22.3633
553,0,-22.3633
554,0,-22.3633
555,0,-22.3633
556,0,-22.3633
557,0,-22.3633
558,0,-22.3633
559,0,-22.3633
560,0,-22.3633
561,0,-22.3633
562,0,-22.3633
563,0,-22.3633
564,0,-22.3633
565,0,-22.3633
566,0,-22.3633
567,0,-22.3633
568,0,-22.3633
569,0,-22.3633
570,0,-22.3633
571,0,-22.3633
572,0,-22.3633
573,0,-22.3633
574,0,-22.3633
575,0,-22.3633
576,0,-22.3633
577,0,-22.3633
578,0,-22.3633
579,0,-22.3633
580,0,-22.3633
581,0,-22.3633
582,0,-22.3633
583,0,-22.3633
584,0,-22.3633
585,0,-22.3633
586,0,-22.3633
587,0,-22.3633
588,0,-22.3633
589,0,-22.3633
590,0,-22.3633
591,0,-22.3633
592,0,-22.3633
593,0,-22.3633
594,0,-22.3633
595,0,-22.3633
596,0,-22.3633
597,0,-22.3633
598,0,-22.3633
599,0,-22.3633
600,0,-22.3633
601,0,-22.3633
602,0,-22.3633
603,0,-22.3633
604,0,-22.3633
605,0,-22.3633
606,0,-22.3633
607,0,-22.3633
608,0,-22.3633
609,0,-22.3633
610,0,-22.3633
611,0,-22.3633
612,0,-22.3633
613,0,-22.3633
614,0,-22.3633
615,0,-22.3633
616,0,-22.3633
617,0,-22.3633
618,0,-22.3633
619,0,-22.3633
620,0,-22.3633
621,0,-22.3633
622,0,-22.3633
623,0,-22.3633
624,0,-22.3633
625,0,-22.3633
626,0,-22.3633
627,0,-22.3633
628,0,-22.3633
629,0,-22.3633
630,0,-22.3633
631,0,-22.3633
632,0,-22.3633
633,0,-22.3633
634,0,-22.3633
635,0,-22.3633
636,0,-22.3633
637,0,-22.3633
638,0,-22.3633
639,0,-22.3633
640,0,-22.3633
641,0,-22.3633
642,0,-22.3633
643,0,-22.3633
644,0,-22.3633
645,0,-22.3633
646,0,-22.3633
647,0,-22.3633
648,0,-22.3633
649,0,-22.3633
650,0,-22.3633
651,0,-22.3633
652,0,-22.3633
653,0,-22.3633
654,0,-22.3633
655,0,-22.3633
656,0,-22.3633
657,0,-22.3633
658,0,-22.3633
659,0,-22.3633
660,0,-22.3633
661,0,-22.3633
662,0,-22.3633
663,0,-22.3633
664,0,-22.3633
665,0,-22.3633
666,0,-22.3633
667,0,-22.3633
668,0,-22.3633
669,0,-22.3633
670,0,-22.3633
671,0,-22.3633
672,0,-22.3633
673,0,-22.3633
674,0,-22.3633
675,0,-22.3633
676,0,-22.3633
677,0,-22.3633
678,0,-22.3633
679,0,-22.3633
680,0,-22.3633
681,0,-22.3633
682,0,-22.3633
683,0,-22.3633
684,0,-22.3633
685,0,-22.3633
686,0,-22.3633
687,0,-22.3633
688,0,-22.3633
689,0,-22.3633
690,0,-22.3633
691,0,-22.3633
692,0,-22.3633
693,0,-22.3633
694,0,-22.3633
695,0,-22.3633
696,0,-22.3633
697,0,-22.3633
698,0,-22.3633
699,0,-22.3633
700,0,-22.3633
701,0,-22.3633
702,0,-22.3633
703,0,-22.3633
704,0,-22.3633
705,0,-22.3633
706,0,-22.3633
707,0,-22.3633
708,0,-22.3633
709,0,-22.3633
710,0,-22.3633
711,0,-22.3633
712,0,-22.3633
713,0,-22.3633
714,0,-22.3633
715,0,-22.3633
716,0,-22.3633
717,0,-22.3633
718,0,-22.3633
719,0,-22.3633
720,0,-22.3633
721,0,-22.3633
722,0,-22.3633
723,0,-22.3633
724,0,-22.3633
725,0,-22.3633
726,0,-22.3633
727,0,-22.3633
728,0,-22.3633
729,0,-22.3633
730,0,-22.3633
731,0,-22.3633
732,0,-22.3633
733,0,-22.3633
734,0,-22.3633
735,0,-22.3633
736,0,-22.3633
737,0,-22.3633
738,0,-22.3633
739,0,-22.3633
740,0,-22.3633
741,0,-22.3633
742,0,-22.3633
743,0,-22.3633
744,0,-22.3633
745,0,-22.3633
746,0,-22.3633
747,0,-22.3633
748,0,-22.3633
749,0,-22.3633
750,0,-22.3633
751,0,-22.3633
752,0,-22.3633
753,0,-22.3633
754,0,-22.3633
755,0,-22.3633
756,0,-22.3633
757,0,-22.3633
758,0,-22.3633
759,0,-22.3633
760,0,-22.3633
761,0,-22.3633
762,0,-22.3633
763,0,-22.3633
764,0,-22.3633
765,0,-22.3633
766,0,-22.3633
767,0,-22.3633
768,0,-22.3633
769,0,-22.3633
770,0,-22.3633
771,0,-22.3633
772,0,-22.3633
773,0,-22.3633
774,0,-22.3633
775,0,-22.3633
776,0,-22.3633
777,0,-22.3633
778,0,-22.3633
779,0,-22.3633
780,0,-22.3633
781,0,-22.3633
782,0,-22.3633
783,0,-22.3633
784,0,-22.3633
785,0,-22.3633
786,0,-22.3633
787,0,-22.3633
788,0,-22.3633
789,0,-22.3633
790,0,-22.3633
791,0,-22.3633
792,0,-22.3633
793,0,-22.3633
794,0,-22.3633
795,0,-22.3633
796,0,-22.3633
797,0,-22.3633
798,0,-22.3633
799,0,-22.3633
800,0,-22.3633
801,0,-22.3633
802,0,-22.3633
803,0,-22.3633
804,0,-22.3633
805,0,-22.3633
806,0,-22.3633
807,0,-22.3633
808,0,-22.3633
809,0,-22.3633
810,0,-22.3633
811,0,-22.3633
812,0,-22.3633
813,0,-22.3633
814,0,-22.3633
815,0,-22.3633
816,0,-22.3633
817,0,-22.3633
818,0,-22.3633
819,0,-22.3633
820,0,-22.3633
821,0,-22.3633
822,0,-22.3633
823,0,-22.3633
824,0,-22.3633
825,0,-22.3633
826,0,-22.3633
827,0,-22.3633
828,0,-22.3633
829,0,-22.3633
830,0,-22.3633
831,0,-22.3633
832,0,-22.3633
833,0,-22.3633
834,0,-22.3633
835,0,-22.3633
836,0,-22.3633
837,0,-22.3633
838,0,-22.3633
839,0,-22.3633
840,0,-22.3633
841,0,-22.3633
842,0,-22.3633
843,0,-22.3633
844,0,-22.3633
845,0,-22.3633
846,0,-22.3633
847,0,-22.3633
848,0,-22.3633
849,0,-22.3633
850,0,-22.3633
851,0,-22.3633
852,0,-22.3633
853,0,-22.3633
854,0,-22.3633
855,0,-22.3633
856,0,-22.3633
857,0,-22.3633
858,0,-22.3633
859,0,-22.3633
860,0,-22.3633
861,0,-22.3633
862,0,-22.3633
863,0,-22.3633
864,0,-22.3633
865,0,-22.3633
866,0,-22.3633
867,0,-22.3633
868,0,-22.3633
869,0,-22.3633
870,0,-22.3633
871,0,-22.3633
872,0,-22.3633
